category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
PMID	PMID:28473706	7	21	9606	LCP2,ZAP70,CD247,LAT,SHC1,VAV1,LCK	LCP2,ZAP70,CD247,LAT,SHC1,VAV1,LCK	1.7e-18	9.53e-13	(2017) Molecular mechanisms underlying the evolution of the slp76 signalosome.
PMID	PMID:15303567	7	24	9606	LCP2,CBL,ZAP70,CD247,LAT,VAV1,LCK	LCP2,CBL,ZAP70,CD247,LAT,VAV1,LCK	3.77e-18	1.49e-12	(2004) T-lymphocyte signalling in systemic lupus erythematosus: a lipid raft perspective.
PMID	PMID:11514605	7	27	9606	LCP2,CBL,ZAP70,CD3D,CD247,VAV1,LCK	LCP2,CBL,ZAP70,CD3D,CD247,VAV1,LCK	7.71e-18	2.83e-12	(2001) T cell development and T cell responses in mice with mutations affecting tyrosines 292 or 315 of the ZAP-70 protein tyrosine kinase.
PMID	PMID:23514740	7	28	9606	LCP2,CBL,ZAP70,CD247,LAT,VAV1,LCK	LCP2,CBL,ZAP70,CD247,LAT,VAV1,LCK	9.64e-18	3.31e-12	(2013) TNFR-associated factor 6 regulates TCR signaling via interaction with and modification of LAT adapter.
PMID	PMID:31440487	8	74	9606	LCP2,CBL,ZAP70,CD3D,CD247,LAT,VAV1,LCK	LCP2,CBL,ZAP70,CD3D,CD247,LAT,VAV1,LCK	1.03e-17	3.32e-12	(2019) Hematopoietic Stem Cell Transplantation in Primary Immunodeficiency Diseases: Current Status and Future Perspectives.
PMID	PMID:34897277	9	161	9606	LCP2,CBL,ZAP70,CD3D,CD247,LAT,SHC1,VAV1,LCK	LCP2,CBL,ZAP70,CD3D,CD247,LAT,SHC1,VAV1,LCK	1.16e-17	3.5e-12	(2021) T cell receptor (TCR) signaling in health and disease.
PMID	PMID:21776385	7	29	9606	LCP2,CBL,ZAP70,LAT,SHC1,VAV1,LCK	LCP2,CBL,ZAP70,LAT,SHC1,VAV1,LCK	1.2e-17	3.5e-12	(2011) Regulation and function of syk tyrosine kinase in mast cell signaling and beyond.
PMID	PMID:15699071	7	29	9606	LCP2,ZAP70,CD247,LAT,SHC1,VAV1,LCK	LCP2,ZAP70,CD247,LAT,SHC1,VAV1,LCK	1.2e-17	3.5e-12	(2005) The adaptor molecules LAT and SLP-76 are specifically targeted by Yersinia to inhibit T cell activation.
PMID	PMID:9687533	7	30	9606	LCP2,CBL,ZAP70,CD247,LAT,SHC1,LCK	LCP2,CBL,ZAP70,CD247,LAT,SHC1,LCK	1.48e-17	3.79e-12	(1998) T cell receptor (TCR) interacting molecule (TRIM), a novel disulfide-linked dimer associated with the TCR-CD3-zeta complex, recruits intracellular signaling proteins to the plasma membrane.
PMID	PMID:25045209	7	32	9606	LCP2,TYROBP,ZAP70,CD247,LAT,SHC1,VAV1	LCP2,TYROBP,ZAP70,CD247,LAT,SHC1,VAV1	2.2e-17	5.4e-12	(2014) Functional roles of Syk in macrophage-mediated inflammatory responses.
PMID	PMID:37759563	7	34	9606	LCP2,TYROBP,CBL,ZAP70,CD3D,LAT,LCK	LCP2,TYROBP,CBL,ZAP70,CD3D,LAT,LCK	3.22e-17	7.53e-12	(2023) A Story of Kinases and Adaptors: The Role of Lck, ZAP-70 and LAT in Switch Panel Governing T-Cell Development and Activation.
PMID	PMID:29440364	7	34	9606	LCP2,CBL,ZAP70,CD247,LAT,SHC1,LCK	LCP2,CBL,ZAP70,CD247,LAT,SHC1,LCK	3.22e-17	7.53e-12	(2018) Rab6-dependent retrograde traffic of LAT controls immune synapse formation and T cell activation.
PMID	PMID:25411776	7	34	9606	LCP2,TYROBP,ZAP70,LAT,SHC1,VAV1,LCK	LCP2,TYROBP,ZAP70,LAT,SHC1,VAV1,LCK	3.22e-17	7.53e-12	(2014) The C-type lectin OCILRP2 costimulates EL4 T cell activation via the DAP12-Raf-MAP kinase pathway.
PMID	PMID:23377202	7	34	9606	LCP2,CBL,ZAP70,CD3D,CD247,VAV1,LCK	LCP2,CBL,ZAP70,CD3D,CD247,VAV1,LCK	3.22e-17	7.53e-12	(2013) Distinct TCR signaling pathways drive proliferation and cytokine production in T cells.
PMID	PMID:22566884	7	37	9606	LCP2,CBL,ZAP70,LAT,SHC1,VAV1,LCK	LCP2,CBL,ZAP70,LAT,SHC1,VAV1,LCK	5.48e-17	1.09e-11	(2011) Transmembrane adaptor proteins in the high-affinity IgE receptor signaling.
